0,1,2,3,4
In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints
"Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date"
1.0,SN2011hs,IIb,'2011-11-12,
1.0,SN2016hht,Ia,'2016-10-19 14:52:48.000,
1.0,SN2009aj,II,'2009-02-24,x
1.0,PTF10aagc,SLSN-I,,
1.0,ASASSN-15rw,Ia,,
1.0,SN2013bu,II,'2013-04-21,
1.0,SN2013fn,Ia,'2013-09-23,
1.0,SN2005gj,Ia-CSM,'2005-09-26,
1.0,SN2013ai,IIP,'2013-03-01,
1.0,SN2013fy,Ia,'2013-10-25,
1.0,SN2005kd,IIn,'2005-11-12,2005-Nov-10
1.0,SN2013gd,II,'2013-11-09,
1.0,ASASSN-15tj,Ia,,
1.0,LSQ13ry,Ia,,
1.0,SN2011ke,SLSN-I,'2011-04-25,
1.0,CSS081009,SLSN-II,,
1.0,PTF12mxx,SLSN-I,,
1.0,SN2011im,Ia,'2011-11-26,
1.0,SN2014eh,Ic,'2014-11-03,x
1.0,SN2008iy,SLSN-II,'2008-09-28,
1.0,PTF12epg,SLSN-II,,
1.0,PTF12gzk,Ic,,MJD 2456132.763 
1.0,LSQ13ddu,I,,
0.0,SN2015bq,Ia-99aa,'2015-02-16 17:16:48.000,
0.0,SN2017ein,Ic,'2017-05-25 23:16:48.000,57897
0.0,SN2008ge,Ia,'2008-10-08,
0.0,SN2008aq,IIb,'2008-02-27,x
0.0,SN2009gj,IIb,'2009-06-20,
0.0,ASASSN-15uh,Ia-91T,,
0.0,SN2015bq,Ia-91T,'2015-02-16 17:16:48.000,
0.0,SNF20080720001,Ia,,
0.0,SN2015G,Ibn,'2015-03-23,
0.0,SN2008ex,IIn,'2008-08-17,x
0.0,SN2008ha,Ia,'2008-11-07,
0.0,ASASSN-15ar,Ia,,
0.0,SN2009bb,Ic,'2009-03-21,JD 2454909.6
0.0,SN2015bo,Ia-91bg,'2015-02-14 10:37:06.000,
0.0,SN2008bo,Ib,'2008-03-31,x
0.0,SN2008cg,Ia-CSM?,'2008-05-05,
0.0,SN2008dx,Ia-91bg,'2008-06-24,
0.0,SN2008ec,Ia,'2008-07-14,
0.0,SN2009ay,II,'2009-03-20,x
0.0,SN2016ija,II,'2016-11-22 17:05:16.000,x
0.0,SN2013dk,Ic,'2013-06-22,x
0.0,SN2008ae,Ia-02cx,'2008-02-09,
0.0,SN2006T,IIb,'2006-01-30,JD = 2453758.14
0.0,SN2006gy,IIn,'2006-09-18,2002 November 3
0.0,ASASSN-15od,Ia,,
0.0,SN2015ak,Ia,'2015-08-18,
0.0,SN2006bv,IIn,'2006-04-28,x
0.0,SN2015ah,Ib,'2015-08-06,
0.0,ASASSN-15qc,Ia,,
0.0,SN2006X,Ia,'2006-02-04,
0.0,ASASSN-15sf,Ia,,
0.0,SN2006lc,Ib,'2006-10-21,x
0.0,SN2005mz,Ia-91bg,'2005-12-31,
0.0,SN2018isq, Ia,'2018-11-20 07:02:57.000,
0.0,PS15cku,Ia,,
0.0,SN2005ek,Ic,'2005-09-24,MJD 53639.9 
0.0,OGLE15qz,SLSN-I,,
0.0,SN2005da,Ic-bl,'2005-07-18,x
0.0,PS15ces,IIn,,
0.0,SN2017jav,Ia,'2017-12-19 05:49:56.000,
0.0,SN2007C,Ib,'2007-01-07,
0.0,SN2008S,IIn-Imp?,'2008-02-01,
0.0,SN2017gah,Ia,'2017-08-10 11:52:48.000,
0.0,iPTF14hls,II-wierdo,,
0.0,SN2008D,Ib,'2008-01-11,
0.0,ASASSN-15fi,II,,x
0.0,ASASSN-15ts,Ia,,
0.0,ASASSN-15ga,Ia-99by,,
0.0,ASASSN-15kg,Ia-pec?,,
0.0,OGLE15sd,SLSN-I,,
0.0,SN2007fo,Ib,'2007-07-09,
0.0,SN2007D,Ic-bl,'2007-01-09,x
0.0,PS15bgt,Ib-IIb,,
0.0,SN2015N,Ia,'2015-07-06,
0.0,SN2007co,Ia,'2007-06-04,
0.0,SN2007ax,Ia-91bg,'2007-03-21,
0.0,SN2007aa,II,'2007-02-18,x
0.0,SN2007S,Ia,'2007-01-29,
0.0,SN2007I,Ic-bl,'2007-01-14,x
0.0,SN2007ck,II ,'2007-05-19,x
0.0,SN2010ae,Ia-p,'2010-02-22,
0.0,SN2016hnk,Ia-91bg,'2016-10-27 11:22:33.000,
0.0,SN2009iz,Ib,'2009-09-19,
0.0,SN2012G,Ia,'2012-01-14,
0.0,PTF13bvn,Ic,,56458.67
0.0,SN2014C,Ib,'2014-01-05,56656
0.0,SN2011ja,IIP,'2011-12-18,
0.0,SN2016daj,Ia,'2016-07-17 12:50:24.000,
0.0,SN2011it,Ic,'2011-11-27,x
0.0,SN2016eiy,Ia,'2016-07-26 01:40:48.000,
0.0,SN2016ajf,Ia-91bg,'2016-02-18 10:27:05.000,
0.0,SN2016adj,Ib,'2016-02-08 13:26:43.000,
0.0,SN2011hj,IIP,'2011-10-26,
0.0,SN2011hg,IIb,'2011-10-28,
0.0,SN2011gu,Ia,'2011-10-14,
0.0,SN2014L,Ic,'2014-01-26,x
0.0,SN2011fi,II,'2011-08-27,
0.0,SN2016ekt,Ia,'2016-07-29 08:09:36.000,
0.0,SN2011ek,Ia-91bg,'2011-08-04,
0.0,SN2011eh,Ia-91bg,'2011-07-20,
0.0,SN2014R,Ia,'2014-02-08,
0.0,SN2011dm,Ia,'2011-06-15,
0.0,SN2012P,Ibc,'2012-01-22,
0.0,SN2012T,Ia,'2012-01-26,
0.0,LSQ13crf,Ia,,
0.0,SN2016bqs,Ia,'2016-04-09 14:14:24.000,
0.0,SN2016aqt,Ia-SC,'2016-02-28 10:34:54.000,
0.0,SN2013eh,Ia,'2013-07-19,
0.0,SN2016asf,Ia,'2016-03-06 08:09:36.000,
0.0,SN2013ek,Ib,'2013-07-24,
0.0,SN2013eu,Ia,'2013-08-11,
0.0,SN2013fv,II,'2013-10-11,
0.0,SN2016bfu,Ia-91bg,'2016-03-20 09:31:23.000,
0.0,SN2013Q,Ia,'2013-01-25,
0.0,SN2016blk,Iapec,'2016-04-02 23:31:12.000,
0.0,SN2012ap,Ic,'2012-02-10,5-Feb-12
0.0,SN2013hh,Ia-91T,'2013-12-11,
0.0,SN2016dxv,Ia,'2016-04-21 15:07:12.000,
0.0,SN2012fh,Ib/c,'2012-10-18,
0.0,ASASSN-13ch,Ia,,
0.0,SN2012cw,Ic,'2012-06-14,x
0.0,SN2012cp,Ia,'2012-05-23,
0.0,SN2016ccz,Ia,'2016-05-13 08:23:59.000,
0.0,SN2016cnx,Ia,'2016-05-25 01:12:00.000,
0.0,SN2016eoa,Ia,'2016-08-02 09:18:00.000,
0.0,SN2011cb,IIb,'2011-04-29,
