name,type,redshift,modulus
SN2016coj,Ia,0.004483,31.37463596549888
SN2016cok,IIP,0.002425,30.021009572138844
SN2016cqj,II,0.022,34.83070866369516
SN2016cvk,IIn,0.010783,33.26136604090144
SN2016daj,Ia,0.032,35.51092940270865
SN2016dxv,Ia,0.02,
SN2016eay,SLSN-I,0.102,
SN2016eii,Ia,0.036,
SN2016eiy,Ia,0.008663,32.78569726599017
SN2016eja,Ia,0.04,
SN2016ekg,Ia,0.017,34.26223052708478
SN2016ekt,Ia,0.017,
SN2016els,SLSN-I,0.217,
SN2016enk,IIP,0.0078,32.557560051972764
SN2016eoa,Ia,0.020771,34.68473184645066
SN2016euj,Ia,0.017,34.25076257768102
SN2016ezh,TDE,0.08,
SN2016F,Ia,0.016138,34.13666683797296
SN2016fej,Ia,0.010914,33.28740399284008
SN2016fff,Ia,0.01144,
SN2016frp,Ib-pec,0.027,
SN2016G,Ic-BL,0.009,32.903674770111124
SN2016gfr,Ia,0.014,
SN2016gfy,II,0.008,32.62882216758913
SN2016gkg,II,0.00494,31.5661128104497
SN2016gsb,Ia,0.0097,33.02007968608357
SN2016gxp,Ia-pec,0.018,34.35551227271493
SN2016hgm,II,0.008,32.557560051972764
SN2016hht,Ia,0.019,34.44456187644465
SN2016hli,Ia,0.017,34.21772105972818
SN2016hnk,Ia,0.016,
SN2016hpw,Ia,0.02,
SN2016hrv,II,0.0166,34.2051453481192
SN2016hsc,Ia,0.006,
SN2016huh,Ia,0.018556,34.4398828175478
SN2016hvl,Ia-91T,0.013,33.682535823250014
SN2016iae,Ic,0.003468,30.79850421433756
SN2016ieq,IIn,0.066,
SN2016iet,I,,
SN2016igr,Ia,0.018,34.34126237919713
SN2016ija,II,0.003468,30.79850421433756
SN2016iog,II,,
SN2016ipf,Ia,0.021,35.0808124291245
SN2016itd,Ia,0.0175,34.31785337191094
SN2016ito,Ia,0.0199,34.593936513108595
SN2016iuh,Ia-91bg-like,0.013696,33.78043224301652
SN2016iyd,II,0.034,
SN2016iyz,II,0.0104,33.17783757338717
SN2016jag,,,32.2282372015849
SN2016jbu,,0.00489,31.544007369369204
SN2016L,IIP,0.009297,32.93902236141018
SN2016P,Ic-BL,0.0146,33.92169938396709
SN2016X,IIP,0.004408,31.31785160591629
SN2016zd,Ia,,35.61903143104696
SN2017ahn,II,0.009255,32.92965245513713
SN2017ati,IIb,0.016,
SN2017atv,Ia,0.0185,34.4308863414858
SN2017aut,Ia,0.017,34.27910952703015
SN2017awk,Ia,0.018056,34.38052765329896
SN2017awz,Ia-91T-like,0.022,
SN2017azw,Ia,0.02,
SN2017bc,Ia,0.027,35.24393480557146
SN2017bcc,SLSN-II,0.148,
SN2017bgu,Ib,0.008,32.74518669518999
SN2017bkc,Ia,0.017,34.29752613434128
SN2017bzc,Ia,0.005365,31.74476773990581
SN2017cak,,,
SN2017cbr,Ia,0.0173,34.28414774833792
SN2017cbv,Ia,0.003999,31.1074334333379
SN2017cfd,Ia,0.012085,33.508679188016345
SN2017cjb,II,0.0094,32.97303686466917
SN2017ckq,Ia,0.01,33.07419325130547
SN2017cyy,Ia,0.0098,33.04841661003584
SN2017cze,Ia,0.015,33.957576059708124
SN2017czw,,,
SN2017daf,Ia,0.019,34.49118742098766
SN2017dau,LBV,0.01062,33.22820281317181
SN2017dcc,Ic-BL,0.043,
SN2017dei,Ia,0.019804,34.581172762473955
SN2017des,,0.007,32.23147739976311
SN2017dgm,Ia,0.018,
SN2017dit,Ia,0.01859,34.44378273312466
SN2017dps,Ia,0.012,33.57595300709185
SN2017drh,Ia,0.005554,31.82040870705535
SN2017dwh,SL-I,,
SN2017dwq,IIn,0.018,34.39770932608577
SN2017dzs,Ia-91bg-like,0.0173,34.28372834275294
SN2017eaw,II,0.000133,23.72363747448347
SN2017ebm,Ia-91bg,0.016732,34.21512515695696
SN2017egb,Ia,0.016151,34.13846144337223
SN2017egm,SLSN-I,0.0307,35.5346356688279
SN2017ein,Ic,0.0027,30.25308012590502
SN2017ejb,Ia-91bg-like,0.009867,33.06832836614802
SN2017ekr,Ia,0.019,34.59320917349051
SN2017emq,Ia,0.005247,31.69698113096009
SN2017ens,,,
SN2017enx,,0.006398,32.12758053201688
SN2017eoc,,0.018688,
SN2017eqx,,,
SN2017erp,Ia,0.006174,32.050369611608176
SN2017err,,,
SN2017erv,Ia,0.017035,34.25416680712136
SN2017evn,Ia,0.017,34.269842317424484
SN2017exo,Ia,0.016,34.15677113926428
SN2017ezd,Ia,0.018,34.38293327290561
SN2017faa,II,0.01845,34.4308863414858
SN2017faf,II,0.0295,
SN2017ffv,Ia,0.014,33.82958396983316
SN2017fgc,Ia,0.008,32.53609249461351
SN2017fhm,,,
SN2017fvl,Ia,0.014,33.880679795741585
SN2017fzw,Ia-91bg-like,0.0054,31.759571761610523
SN2017gah,Ia,0.008906,32.84589382466653
SN2017gas,IIn,0.01,33.55434613817863
SN2017gax,Ib/c,0.0044,31.334227795217032
SN2017gbb,Iax,0.01,33.18689264386997
